epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,825.618,1.36318,1.18236,1.06477,0.7715,0.75161,0.81036,0.52891,1.33631,0.79767,1.01281,0.00999389,0.0033313,0.00999389,0.0033313,0.00999389,0.0033313,0.00999389,0.0033313
2,1519.69,1.28923,0.78835,1.01417,0.78178,0.77476,0.82504,0.53119,1.32848,0.77389,1.01478,0.0193341,0.0064447,0.0193341,0.0064447,0.0193341,0.0064447,0.0193341,0.0064447
3,2167.69,1.30016,0.76894,1.02207,0.78812,0.79245,0.82887,0.53803,1.33548,0.77517,1.01551,0.0280143,0.0093381,0.0280143,0.0093381,0.0280143,0.0093381,0.0280143,0.0093381
4,2796.88,1.27707,0.74152,1.01772,0.81145,0.79186,0.85632,0.56384,1.29437,0.70343,1.0064,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3440.25,1.23641,0.69894,1.00302,0.81878,0.79502,0.86048,0.57259,1.27272,0.66096,0.99566,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,4081.74,1.20914,0.67079,0.99409,0.82545,0.81196,0.86697,0.57758,1.27304,0.65766,0.99863,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,4711.12,1.19394,0.65539,0.98755,0.83941,0.82682,0.88687,0.60431,1.24682,0.63085,0.98584,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,5341.82,1.17439,0.63721,0.98103,0.84095,0.84377,0.89316,0.6085,1.23758,0.62026,0.98454,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,682.586,1.1685,0.62826,0.97863,0.85314,0.84557,0.89753,0.61494,1.2321,0.61065,0.98321,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1318.7,1.15515,0.61734,0.97432,0.84868,0.83582,0.89994,0.62031,1.22306,0.60371,0.97904,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,1958.77,1.1486,0.61187,0.97188,0.85665,0.85847,0.90519,0.62357,1.22157,0.59172,0.97744,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,2595.3,1.13304,0.60018,0.96726,0.84533,0.84485,0.9046,0.62878,1.21258,0.58941,0.97384,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,3227.82,1.12532,0.59297,0.96527,0.85322,0.83552,0.89893,0.62429,1.20547,0.58366,0.97126,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,3855.24,1.11497,0.58316,0.9619,0.85886,0.8561,0.906,0.62919,1.19974,0.57814,0.97023,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,4481.22,1.1103,0.57872,0.95996,0.85471,0.86698,0.90946,0.63585,1.19168,0.57086,0.96873,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,5106.18,1.09983,0.57076,0.95734,0.86418,0.86509,0.91423,0.64028,1.19017,0.56545,0.9676,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,5738.42,1.10337,0.57129,0.95769,0.86385,0.86579,0.913,0.64356,1.17788,0.56174,0.96376,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,6361.84,1.09658,0.56588,0.95649,0.86659,0.86664,0.9175,0.64609,1.18283,0.56029,0.96557,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,6983.82,1.08884,0.55899,0.95365,0.87281,0.86364,0.91853,0.65026,1.17723,0.55353,0.96227,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,7597.97,1.08194,0.55388,0.95129,0.86336,0.87306,0.91633,0.64896,1.17347,0.55128,0.96073,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,8200.11,1.05946,0.52358,0.93895,0.87132,0.86798,0.9195,0.65138,1.17058,0.55306,0.96192,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,8817.91,1.04686,0.51509,0.93637,0.86635,0.87317,0.9185,0.65012,1.16466,0.54882,0.96042,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,9424.26,1.03961,0.50865,0.93318,0.86529,0.87779,0.91893,0.65115,1.16637,0.54677,0.96035,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,10031.6,1.0319,0.50217,0.932,0.85903,0.88086,0.91773,0.65026,1.16515,0.5451,0.96116,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,10640.8,1.02571,0.49642,0.92927,0.85688,0.87778,0.91509,0.64829,1.16432,0.54404,0.96075,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,11248,1.01853,0.49114,0.92726,0.86965,0.86555,0.91596,0.65016,1.16315,0.54311,0.95968,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
