               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055468,            0.076341,            0.013292,             0.72474,             0.75799,             0.79992,             0.46398,            0.038282,            0.068853,           0.0061287,            0.070018,           0.0033313,           0.0033313
                   1,            0.041972,            0.066167,            0.005352,             0.83901,              0.8472,             0.88858,             0.57666,            0.032059,            0.066214,            0.004179,            0.039798,           0.0064447,           0.0064447
                   2,             0.03781,            0.063951,           0.0043745,             0.85433,             0.84966,             0.89929,             0.59675,            0.031107,            0.064681,           0.0036093,           0.0093584,           0.0093381,           0.0093381
                   3,            0.034774,            0.062514,           0.0039256,             0.85282,             0.86653,             0.91053,              0.6176,            0.030132,            0.063347,           0.0032223,             0.00901,             0.00901,             0.00901
                   4,            0.032284,            0.060446,           0.0034559,             0.85317,             0.87258,             0.91264,             0.62934,            0.029492,            0.062207,           0.0030604,             0.00901,             0.00901,             0.00901
                   5,            0.030846,            0.058846,           0.0030314,             0.85706,             0.86894,             0.91211,             0.63375,             0.02905,            0.061879,           0.0029971,             0.00868,             0.00868,             0.00868
                   6,            0.029753,            0.056152,           0.0026374,             0.86801,             0.87404,             0.91775,             0.63953,            0.028909,            0.061748,           0.0027079,             0.00835,             0.00835,             0.00835
                   7,            0.029096,            0.055186,           0.0024323,             0.85884,             0.88342,             0.91205,             0.64023,            0.028802,            0.062946,           0.0027706,             0.00802,             0.00802,             0.00802
                   8,            0.028976,            0.056513,           0.0026097,             0.87701,             0.88827,             0.92597,             0.65099,            0.028528,            0.060927,           0.0024827,             0.00769,             0.00769,             0.00769
                   9,             0.02853,            0.055293,           0.0024425,              0.8712,             0.88668,             0.92406,             0.65626,            0.028174,            0.060865,           0.0024032,             0.00736,             0.00736,             0.00736
                  10,            0.028497,            0.055548,           0.0024782,             0.87236,             0.88858,             0.92692,             0.65756,            0.027871,            0.060067,           0.0023643,             0.00703,             0.00703,             0.00703
                  11,            0.027989,            0.054749,           0.0023819,              0.8833,             0.87894,              0.9248,             0.65665,            0.027937,            0.060154,           0.0023776,              0.0067,              0.0067,              0.0067
                  12,            0.027598,            0.054524,           0.0022714,             0.87895,             0.88606,             0.92866,             0.66233,            0.027748,            0.059965,           0.0022641,             0.00637,             0.00637,             0.00637
                  13,            0.027063,            0.052288,           0.0020354,             0.87185,             0.89144,             0.92346,              0.6603,            0.027757,            0.060919,           0.0023482,             0.00604,             0.00604,             0.00604
                  14,            0.026702,            0.051526,           0.0018873,             0.87139,             0.89088,             0.92098,             0.65914,            0.027729,            0.061369,           0.0024045,             0.00571,             0.00571,             0.00571
                  15,            0.026662,            0.051802,            0.001929,             0.87921,             0.89172,             0.92532,             0.66221,             0.02767,            0.060814,           0.0022557,             0.00538,             0.00538,             0.00538
                  16,            0.026414,            0.051087,           0.0018862,              0.8819,              0.8917,             0.92762,             0.66543,            0.027514,            0.060917,           0.0022293,             0.00505,             0.00505,             0.00505
                  17,            0.026365,            0.051135,           0.0018682,             0.87451,             0.89828,             0.92617,              0.6661,            0.027372,            0.060731,           0.0022079,             0.00472,             0.00472,             0.00472
