               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076187,            0.045554,             0.02225,              0.5633,             0.43326,             0.45207,             0.22071,            0.052212,            0.041196,            0.012631,            0.070018,           0.0033313,           0.0033313
                   1,            0.056635,            0.044592,            0.011849,             0.71616,             0.54179,             0.61077,             0.32906,            0.045668,            0.038261,           0.0086014,            0.039798,           0.0064447,           0.0064447
                   2,            0.051695,            0.043355,           0.0096427,             0.71284,             0.60823,             0.67236,             0.36458,            0.044217,            0.037684,           0.0080218,           0.0093584,           0.0093381,           0.0093381
                   3,            0.047602,            0.042165,            0.008487,             0.73386,             0.64606,              0.7173,             0.40808,            0.041199,            0.036429,           0.0070869,             0.00901,             0.00901,             0.00901
                   4,             0.04517,            0.041138,           0.0076216,             0.77214,             0.65172,             0.73929,             0.43343,            0.039495,            0.035588,           0.0061878,             0.00901,             0.00901,             0.00901
                   5,            0.043409,             0.04043,           0.0070664,             0.76511,             0.68622,             0.75376,             0.44458,             0.03882,            0.035251,           0.0059755,             0.00868,             0.00868,             0.00868
                   6,            0.042292,            0.039822,           0.0065414,              0.7631,             0.69122,             0.76035,             0.45313,             0.03801,            0.034798,            0.006198,             0.00835,             0.00835,             0.00835
                   7,              0.0415,            0.039131,           0.0061622,             0.78462,             0.70716,             0.77721,             0.46918,            0.037306,            0.034422,           0.0056049,             0.00802,             0.00802,             0.00802
                   8,             0.04076,            0.038913,           0.0059169,             0.77972,             0.70686,             0.77506,             0.46854,             0.03693,            0.034221,           0.0054144,             0.00769,             0.00769,             0.00769
                   9,            0.040217,            0.038586,           0.0056208,             0.79036,             0.71626,             0.78131,             0.47574,            0.036798,             0.03405,            0.005331,             0.00736,             0.00736,             0.00736
                  10,            0.039809,            0.038138,           0.0054919,             0.79169,             0.72538,             0.78759,             0.48344,             0.03637,            0.033865,            0.005112,             0.00703,             0.00703,             0.00703
                  11,            0.039259,            0.037969,            0.005189,             0.79474,             0.72689,             0.79293,             0.48519,            0.036192,            0.033754,           0.0051536,              0.0067,              0.0067,              0.0067
                  12,            0.038854,            0.037754,            0.005055,             0.80588,             0.72651,             0.79529,             0.48929,            0.035841,            0.033593,            0.005076,             0.00637,             0.00637,             0.00637
                  13,            0.038657,            0.037385,           0.0049039,             0.81478,              0.7319,             0.80283,              0.4964,            0.035583,            0.033451,           0.0049496,             0.00604,             0.00604,             0.00604
                  14,            0.038155,            0.037221,           0.0047591,             0.80546,             0.74096,             0.80286,             0.49752,            0.035394,            0.033388,           0.0048392,             0.00571,             0.00571,             0.00571
                  15,            0.037868,            0.037041,           0.0046134,             0.80779,             0.73407,             0.80328,             0.49628,            0.035328,            0.033363,           0.0050094,             0.00538,             0.00538,             0.00538
                  16,            0.038724,            0.037659,           0.0054518,              0.8086,             0.74228,             0.80961,             0.50461,            0.035136,            0.033218,           0.0048498,             0.00505,             0.00505,             0.00505
                  17,            0.038552,            0.037564,           0.0054638,             0.81587,             0.74643,             0.81107,             0.50703,            0.034957,            0.033002,             0.00472,             0.00472,             0.00472,             0.00472
                  18,            0.038104,            0.037243,           0.0053911,              0.8149,             0.74109,             0.81344,             0.50959,            0.034751,            0.032918,           0.0045643,             0.00439,             0.00439,             0.00439
                  19,            0.037736,            0.037353,           0.0051375,             0.83251,             0.73824,             0.81728,             0.51272,            0.034609,              0.0328,           0.0045663,             0.00406,             0.00406,             0.00406
