               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059445,            0.078416,             0.01475,             0.59167,             0.66999,             0.67118,             0.37554,            0.039559,            0.070869,           0.0074515,            0.070018,           0.0033313,           0.0033313
                   1,            0.044236,            0.069167,             0.00646,             0.79061,             0.80764,             0.85265,             0.53355,             0.03449,            0.067305,           0.0048933,            0.039798,           0.0064447,           0.0064447
                   2,            0.039829,            0.066614,           0.0049048,             0.82592,             0.83383,              0.8777,             0.56019,            0.033268,             0.06628,           0.0041761,           0.0093584,           0.0093381,           0.0093381
                   3,            0.036326,            0.064866,           0.0043098,             0.82604,             0.85498,             0.89281,             0.59426,            0.031097,             0.06483,           0.0034949,             0.00901,             0.00901,             0.00901
                   4,            0.033843,            0.062684,           0.0036624,             0.85733,             0.84475,              0.8986,             0.60458,            0.030691,            0.063849,           0.0031701,             0.00901,             0.00901,             0.00901
                   5,             0.03246,            0.060891,           0.0032722,             0.85504,             0.86309,             0.90515,             0.61254,            0.030348,            0.062754,           0.0030103,             0.00868,             0.00868,             0.00868
                   6,            0.031863,            0.060539,           0.0032352,             0.85952,             0.86157,             0.91122,             0.62358,            0.029943,            0.062322,           0.0028284,             0.00835,             0.00835,             0.00835
                   7,            0.031351,            0.059794,            0.003093,             0.85637,             0.85782,              0.9113,             0.62578,            0.029555,            0.061818,           0.0027991,             0.00802,             0.00802,             0.00802
                   8,            0.030746,            0.059032,           0.0029935,             0.87079,             0.85921,             0.91372,             0.63059,            0.029198,            0.061204,           0.0027471,             0.00769,             0.00769,             0.00769
                   9,            0.030255,            0.058788,           0.0028285,             0.86102,             0.86742,             0.91326,             0.63352,            0.029238,            0.061456,           0.0026773,             0.00736,             0.00736,             0.00736
                  10,            0.029978,            0.058048,           0.0027972,             0.86788,             0.86794,              0.9167,             0.63765,            0.028967,            0.061226,           0.0025606,             0.00703,             0.00703,             0.00703
                  11,            0.029723,            0.057302,           0.0026472,             0.87019,             0.86552,             0.91868,             0.63959,            0.028939,            0.061047,           0.0024524,              0.0067,              0.0067,              0.0067
                  12,            0.029483,            0.056875,           0.0025992,             0.87809,             0.87445,             0.92097,             0.64407,            0.028677,            0.060464,           0.0023704,             0.00637,             0.00637,             0.00637
                  13,             0.02925,            0.056794,           0.0025048,             0.87355,             0.87452,             0.92337,              0.6491,            0.028446,            0.060313,           0.0023572,             0.00604,             0.00604,             0.00604
                  14,            0.028932,             0.05652,           0.0024571,             0.87277,              0.8738,             0.92149,              0.6489,            0.028406,            0.060084,             0.00238,             0.00571,             0.00571,             0.00571
                  15,            0.028761,            0.056043,           0.0024316,             0.86664,             0.88935,             0.92176,             0.65105,            0.028204,              0.0599,           0.0023136,             0.00538,             0.00538,             0.00538
                  16,            0.028541,            0.055948,           0.0023625,             0.87743,              0.8716,             0.92147,             0.64975,            0.028234,            0.059783,           0.0022943,             0.00505,             0.00505,             0.00505
                  17,            0.028316,            0.055275,           0.0023192,             0.87691,             0.88396,             0.92394,             0.65483,            0.028092,            0.059945,           0.0023323,             0.00472,             0.00472,             0.00472
                  18,             0.02806,            0.054852,           0.0021427,             0.87733,             0.88591,             0.92465,             0.65652,            0.028053,            0.060009,           0.0022931,             0.00439,             0.00439,             0.00439
                  19,            0.027775,            0.054278,           0.0021105,             0.87923,             0.88198,              0.9256,             0.65813,            0.027981,            0.060007,           0.0022178,             0.00406,             0.00406,             0.00406
                  20,            0.027715,            0.054076,           0.0021035,             0.87235,             0.88427,             0.92486,              0.6593,            0.028003,            0.059921,           0.0022418,             0.00373,             0.00373,             0.00373
                  21,            0.027565,            0.053738,            0.002043,             0.87719,             0.88143,             0.92151,             0.65751,             0.02799,            0.060061,           0.0022439,              0.0034,              0.0034,              0.0034
                  22,            0.027257,            0.053189,            0.002006,             0.86647,             0.88624,             0.92234,              0.6582,            0.027961,            0.060107,           0.0022868,             0.00307,             0.00307,             0.00307
                  23,            0.026992,            0.053079,           0.0019498,             0.87521,             0.88463,             0.92239,             0.65907,            0.027901,            0.060169,           0.0022332,             0.00274,             0.00274,             0.00274
